pose_index,ego_x,ego_y,ego_z,ego_yaw,bbox_center_x,bbox_center_y,bbox_center_z,bbox_width,bbox_length,bbox_height,bbox_yaw,class_id,class_label,num_points
0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,184.33207058184394,0.05918473118862022,23.936369840752874,6.122519931745245,6.476455707185151,45.78420996054443,0.0,0,Antenna,343
1,-164525.171875,-129881.3671875,14278.4794921875,46.65750503540039,192.18032014659042,-0.02552293609618972,-0.4079571047096895,7.460606612790201,6.900257666094982,48.16215412231918,0.0,0,Antenna,411
2,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082031,247.73979845735624,148.42590449260425,37.42146544812668,6.150906430160916,5.174063361210187,39.29736542174783,0.0,0,Antenna,234
2,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082031,105.20504145853099,-0.2858588234250352,23.722377929723915,6.370063229925648,6.797487456036924,50.13231162215627,0.0,0,Antenna,1639
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,223.02201759941516,109.753800837834,-10.478009137416759,1.3103854676732283,0.7634696658673903,3.2093928994602052,0.0,0,Antenna,18
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,121.6359150693484,0.02058986495838311,0.4564484553120334,5.511824586728409,6.2780786171506815,34.51951602853205,0.0,0,Antenna,580
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,182.21173013176485,63.24754292926012,-14.294480958931244,17.11899228319956,4.955007607942285,2.626522762322079,0.0,1,Cable,24
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,159.8367417921919,59.39485480580463,-13.411365475542821,5.890268389537994,1.1488122877352325,1.32310074376986,0.0,1,Cable,6
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,134.80117566115894,54.481813565830684,-11.62793504541415,5.538794143539604,2.7036714167359293,1.5746901992622995,0.0,1,Cable,4
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,72.32758248954099,36.08689976446415,-7.37866260120549,8.320690008140616,3.216677766493625,1.2238148177662698,0.0,1,Cable,4
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,54.06899494413369,28.82220594866203,-5.237836319395303,3.7822708795102784,1.689366310583754,0.384234968894293,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,266.56085980968453,86.63176267197098,-30.349881720468403,0.17585640206021935,0.015361058686096385,0.018300895246891713,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,187.47376685571092,125.72277042539082,-5.77325946128734,4.87168877717869,1.6661629154226887,0.11916521424481719,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,187.86764557649923,131.07466178526232,-20.00130222282089,3.3587992327497034,1.2153166338767676,0.09921918605396485,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,152.6910511285231,123.97750490731363,-19.07712865156435,0.8227058506459741,0.2605967171112269,0.11561612243203712,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,153.9581900303999,141.8380651637306,-9.52322771652816,2.184008667814169,0.7140010047272654,0.29798717630078997,0.0,1,Cable,6
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,137.17293669196755,128.79179971146476,-26.68092339454808,5.075206725013118,1.541353041480562,0.5089993031097286,0.0,1,Cable,9
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,236.01532653245368,115.30712097613171,-20.94973473810748,3.929852064099748,1.4475998613378636,0.04637787617438249,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,157.20175662146684,141.07541349643822,-19.010185564586497,11.342961737064513,3.8387142176394775,1.1977308224666956,0.0,1,Cable,9
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,148.458768728014,130.7997582898932,-3.5475024431515694,9.4821043566875,3.0765600879484225,1.094212420697533,0.0,1,Cable,10
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,154.94881542536143,142.03813563207888,-27.90914828721676,9.62930854490699,3.1673160131756504,0.9487912517285793,0.0,1,Cable,10
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,146.15208602342722,126.3536406923476,-9.245572167614775,14.698748088968586,4.898672214006183,1.426231218949928,0.0,1,Cable,17
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,141.75586415178225,127.59433973324428,-17.936453111552165,10.199856944146092,3.2695091663256335,0.9771456975422979,0.0,1,Cable,9
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,175.04335194675525,116.43337282320289,-29.042950059375464,15.956410434359526,5.202212369618593,0.4264843909958138,0.0,1,Cable,9
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,195.17977803351954,110.11483587921215,-20.369777129509536,5.379727523587945,1.769850460260443,0.16008267765293738,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,150.75717365451868,137.6077998940518,-3.5274889533751277,2.3106178702274462,0.7849832137333124,0.1628902293071075,0.0,1,Cable,6
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,220.8268908830688,101.98230916291487,-11.722246737521987,3.4009899235082344,1.1414737167980746,0.13383995166380558,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,148.07336860194724,125.21168796001757,-27.80905311546836,6.087238135466123,2.0772363072853324,0.6123044914769196,0.0,1,Cable,6
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,197.94283333596246,128.05180597559954,-29.420429557418743,2.1364745212997036,0.8721372610081488,0.10940589294986935,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,286.2580529303633,80.67320615645026,-11.725859775936609,3.615242490453454,1.2461394675848965,0.10114435407756339,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,201.49252064719883,126.66667864346508,-20.363161156554757,13.43815087876564,4.306601803046249,0.35851276606065596,0.0,1,Cable,5
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,193.0617797520539,110.5031804581179,-29.443435163534414,7.663682076678867,2.5468010567527983,0.15973392919755725,0.0,1,Cable,6
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,190.19910582323797,111.97884455391988,-11.103748368006432,4.111198345172312,1.423876338252441,0.06464285821683902,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,209.49435496867892,105.46702412810211,-20.685152081733953,4.358763918192864,1.2428147558348144,0.21154972999656962,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,182.48103697685633,114.28871825506843,-20.04370049001573,2.319490643594719,0.6756881008925149,0.01461425915530512,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,212.49039795789542,123.25467827145422,-29.785405102854277,5.669324781437155,1.8660386307982009,0.19017158355905295,0.0,1,Cable,4
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,176.3069994393893,129.37404847595297,-5.459555955116841,4.909915791853422,1.5571367178579578,0.15220293828307696,0.0,1,Cable,3
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,166.69748342976342,127.06311381076071,-46.49178382556772,0.7456198655589219,2.4542238977054325,2.281657058313165,0.0,2,Pole,16
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,162.73625673865646,127.47921521880964,-47.39878550954552,4.541595189897578,3.013843709092015,13.219483989064834,0.0,2,Pole,153
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,167.77292178593694,130.68024398160287,-49.995441899677026,2.516667246344838,2.9484977215654737,12.3230775822922,0.0,2,Pole,118
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,166.56956362359088,136.37281640522994,-27.385730576129166,1.5484253802356989,1.921158708267626,0.8219674235499639,0.0,2,Pole,14
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,164.49986531779868,128.72501197366785,-15.132484614727524,2.9939381613220917,4.1056369679785405,6.676999984630733,0.0,2,Pole,97
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,164.139679238678,128.68556683860774,-9.028979771217166,1.6794916991920275,3.5261682577129676,4.783594866447492,0.0,2,Pole,35
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,162.81833316952867,123.9191615833856,-8.996158973097602,1.4119934834037338,2.9847614831345197,0.9997451441840788,0.0,2,Pole,16
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,160.08118441108584,121.84478726425347,-10.294643777044996,2.40836950973312,1.544467805363979,1.4382968343698064,0.0,2,Pole,25
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,163.56599633412182,129.09974366042695,-19.573180105592193,1.079108697650895,2.141670241227615,3.5449302174982478,0.0,2,Pole,24
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,165.709028321411,129.7240385519059,-21.1864024129149,0.8234733954282092,1.5461180244921877,3.6072290628927455,0.0,2,Pole,20
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,163.94125237975112,133.75273854597043,-60.89453440850575,1.6805062178675314,0.6306128707959715,2.064439888666719,0.0,2,Pole,12
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,165.55042018067957,127.21318255740616,-37.7045047265463,1.6405624433021444,1.2864106587568216,2.167102091397254,0.0,2,Pole,20
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,165.35408895633066,137.9636588920348,-10.392270072797153,1.9859734714420654,1.2851037316276859,1.5759074334725103,0.0,2,Pole,18
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,164.93859848649538,138.41410558852084,-19.490473520216604,2.6144625257997802,1.5784954753875695,1.5609523699817665,0.0,2,Pole,24
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,162.54215980657742,123.5263717709174,-18.11891323575275,0.8017858102676882,1.754233555278887,0.9858141536010905,0.0,2,Pole,13
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,159.17596899782959,121.38097574158674,-28.581012166729295,2.669482969479418,1.539282968641288,1.361091522932906,0.0,2,Pole,18
3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,165.53665105116488,127.89971425838455,-32.64274263522,1.3757276886709633,1.6467522545051168,2.1356939534451165,0.0,2,Pole,18
